Date,Time,CCNY_pm2.5,PS19_pm2.5,QC_pm2.5,QC_temp
7/28/2018,0:00:00,10.4,9.8,7.8,72.8
7/28/2018,1:00:00,8.6,6.5,13,73.1
7/28/2018,2:00:00,13.6,4.9,9.8,72.6
7/28/2018,3:00:00,8.3,8.1,8,71.7
7/28/2018,4:00:00,9.4,9.3,9.7,71.1
7/28/2018,5:00:00,12.2,12.5,10.5,71.9
7/28/2018,6:00:00,12.7,13.5,12.2,74.6
7/28/2018,7:00:00,14.6,11.7,8.7,77.2
7/28/2018,8:00:00,15.1,10.9,7,78.4
7/28/2018,9:00:00,10.3,7.1,4.4,79.5
7/28/2018,10:00:00,3.1,2.6,8,81.9
7/28/2018,11:00:00,2.2,7.4,9.5,83.4
7/28/2018,12:00:00,7.6,9.3,11.2,84.7
7/28/2018,13:00:00,11.6,9.1,9.7,86
7/28/2018,14:00:00,11.2,6.5,13.8,84.8
7/28/2018,15:00:00,10.5,10.2,9.2,85.8
7/28/2018,16:00:00,10,9.7,11.4,84.2
7/28/2018,17:00:00,9.3,11.1,9,81.6
7/28/2018,18:00:00,12.5,11.1,5.3,79.5
7/28/2018,19:00:00,12.9,15.5,9.1,79.4
7/28/2018,20:00:00,8.9,15.3,10.1,79.1
7/28/2018,21:00:00,5.1,7.9,10.6,79.2
7/28/2018,22:00:00,8,10.4,11.2,79.8
7/28/2018,23:00:00,7.4,6.6,7.6,79.3
7/29/2018,0:00:00,6.7,5.8,7.5,77.8
7/29/2018,1:00:00,5.6,6,3.6,76.2
7/29/2018,2:00:00,6.2,4.1,6.5,75.1
7/29/2018,3:00:00,8.2,4.4,7.2,74.1
7/29/2018,4:00:00,7.8,7.2,7.7,73
7/29/2018,5:00:00,7.5,7.2,7.6,72.3
7/29/2018,6:00:00,7.6,4.8,7.8,72.7
7/29/2018,7:00:00,5.3,4.5,5.4,73.4
7/29/2018,8:00:00,3.4,1.4,3.1,74.3
7/29/2018,9:00:00,3.2,1.4,6.9,74.9
7/29/2018,10:00:00,2.9,0.8,3.3,76.4
7/29/2018,11:00:00,0.6,1.9,3.2,77.5
7/29/2018,12:00:00,0.4,1.5,4.9,79
7/29/2018,13:00:00,2,1.5,6,80.9
7/29/2018,14:00:00,2.6,3.5,4.2,81.7
7/29/2018,15:00:00,3.7,4.7,5.8,82.8
7/29/2018,16:00:00,3.6,5.8,6,81.8
7/29/2018,17:00:00,4.8,3.7,8.5,79.1
7/29/2018,18:00:00,5.2,8.4,6.4,78.3
7/29/2018,19:00:00,4.1,12.8,8,77.4
7/29/2018,20:00:00,7.5,11,4.5,77.1
7/29/2018,21:00:00,7,7.4,6.5,76.8
7/29/2018,22:00:00,6.2,3.1,9.2,76.3
7/29/2018,23:00:00,10.3,14.6,8.7,75.5
7/30/2018,0:00:00,9.7,8.1,8.7,75.2
7/30/2018,1:00:00,7.5,9.3,10.2,73.8
7/30/2018,2:00:00,7.2,9.1,12.1,72.4
7/30/2018,3:00:00,4.3,9.1,10.7,71.7
7/30/2018,4:00:00,5.7,3.8,9.8,71.3
7/30/2018,5:00:00,6.5,4.9,10.5,71.3
7/30/2018,6:00:00,8.4,4.1,7.6,72.6
7/30/2018,7:00:00,6.4,4.8,3.1,75.6
7/30/2018,8:00:00,7.8,5,4,77.4
7/30/2018,9:00:00,3.8,7,5.5,79.5
7/30/2018,10:00:00,4,4.1,4.7,79.1
7/30/2018,11:00:00,4.8,8.6,4.2,80.1
7/30/2018,12:00:00,6.8,8.6,4.3,79.7
7/30/2018,13:00:00,6.6,4.6,4,79.5
7/30/2018,14:00:00,4.2,1,8.1,78.9
