Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
New Delhi,PM2.5 - Principal,2019-01-01 01:00 AM,2019,1,1,1,463.1,475,Hazardous,543,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2019-01-01 02:00 AM,2019,1,1,2,496.1,497,Hazardous,529,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2019-01-01 03:00 AM,2019,1,1,3,502,501,Hazardous,508,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2019-01-01 04:00 AM,2019,1,1,4,452,468,Hazardous,402,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2019-01-01 05:00 AM,2019,1,1,5,384.5,423,Hazardous,317,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2019-01-01 06:00 AM,2019,1,1,6,324.3,374,Hazardous,264,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2019-01-01 07:00 AM,2019,1,1,7,285.6,336,Hazardous,247,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2019-01-01 08:00 AM,2019,1,1,8,258.8,309,Hazardous,232,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2019-01-01 09:00 AM,2019,1,1,9,273.9,324,Hazardous,289,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2019-01-01 10:00 AM,2019,1,1,10,327.4,377,Hazardous,381,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2019-01-01 11:00 AM,2019,1,1,11,342.7,392,Hazardous,358,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2019-01-01 12:00 PM,2019,1,1,12,282.3,333,Hazardous,222,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2019-01-01 01:00 PM,2019,1,1,13,214.1,264,Very Unhealthy,146,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2019-01-01 02:00 PM,2019,1,1,14,157,207,Very Unhealthy,100,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2019-01-01 03:00 PM,2019,1,1,15,129.4,189,Unhealthy,102,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2019-01-01 04:00 PM,2019,1,1,16,102.1,175,Unhealthy,75,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2019-01-01 05:00 PM,2019,1,1,17,86,167,Unhealthy,70,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2019-01-01 06:00 PM,2019,1,1,18,93.5,171,Unhealthy,101,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,2019-01-01 07:00 PM,2019,1,1,19,100.7,174,Unhealthy,108,UG/M3,1 Hr,Valid
