"","date","QC_pm2.5","QC_temp","wd","ws"
"1",2018-07-28 00:00:00,7.8,72.8,282,4
"2",2018-07-28 01:00:00,13,73.1,266,3
"3",2018-07-28 02:00:00,9.8,72.6,286,3
"4",2018-07-28 03:00:00,8,71.7,359,3
"5",2018-07-28 04:00:00,9.7,71.1,343,2
"6",2018-07-28 05:00:00,10.5,71.9,318,2
"7",2018-07-28 06:00:00,12.2,74.6,270,3
"8",2018-07-28 07:00:00,8.7,77.2,241,1
"9",2018-07-28 08:00:00,7,78.4,250,2
"10",2018-07-28 09:00:00,4.4,79.5,288,2
"11",2018-07-28 10:00:00,8,81.9,293,2
"12",2018-07-28 11:00:00,9.5,83.4,334,4
"13",2018-07-28 12:00:00,11.2,84.7,306,3
"14",2018-07-28 13:00:00,9.7,86,238,3
"15",2018-07-28 14:00:00,13.8,84.8,224,6
"16",2018-07-28 15:00:00,9.2,85.8,203,5
"17",2018-07-28 16:00:00,11.4,84.2,234,8
"18",2018-07-28 17:00:00,9,81.6,243,5
"19",2018-07-28 18:00:00,5.3,79.5,249,6
"20",2018-07-28 19:00:00,9.1,79.4,274,4
"21",2018-07-28 20:00:00,10.1,79.1,275,3
"22",2018-07-28 21:00:00,10.6,79.2,272,2
"23",2018-07-28 22:00:00,11.2,79.8,317,4
"24",2018-07-28 23:00:00,7.6,79.3,331,5
"25",2018-07-29 00:00:00,7.5,77.8,329,6
"26",2018-07-29 01:00:00,3.6,76.2,329,5
"27",2018-07-29 02:00:00,6.5,75.1,355,6
"28",2018-07-29 03:00:00,7.2,74.1,10,5
"29",2018-07-29 04:00:00,7.7,73,6,6
"30",2018-07-29 05:00:00,7.6,72.3,359,6
"31",2018-07-29 06:00:00,7.8,72.7,344,7
"32",2018-07-29 07:00:00,5.4,73.4,338,7
"33",2018-07-29 08:00:00,3.1,74.3,337,7
"34",2018-07-29 09:00:00,6.9,74.9,328,7
"35",2018-07-29 10:00:00,3.3,76.4,342,6
"36",2018-07-29 11:00:00,3.2,77.5,6,5
"37",2018-07-29 12:00:00,4.9,79,1,5
"38",2018-07-29 13:00:00,6,80.9,343,4
"39",2018-07-29 14:00:00,4.2,81.7,331,4
"40",2018-07-29 15:00:00,5.8,82.8,322,4
"41",2018-07-29 16:00:00,6,81.8,325,4
"42",2018-07-29 17:00:00,8.5,79.1,238,4
"43",2018-07-29 18:00:00,6.4,78.3,200,3
"44",2018-07-29 19:00:00,8,77.4,224,3
"45",2018-07-29 20:00:00,4.5,77.1,209,1
"46",2018-07-29 21:00:00,6.5,76.8,236,1
"47",2018-07-29 22:00:00,9.2,76.3,254,3
"48",2018-07-29 23:00:00,8.7,75.5,271,3
"49",2018-07-30 00:00:00,8.7,75.2,270,3
"50",2018-07-30 01:00:00,10.2,73.8,320,2
"51",2018-07-30 02:00:00,12.1,72.4,355,2
"52",2018-07-30 03:00:00,10.7,71.7,3,3
"53",2018-07-30 04:00:00,9.8,71.3,358,3
"54",2018-07-30 05:00:00,10.5,71.3,29,4
"55",2018-07-30 06:00:00,7.6,72.6,31,6
"56",2018-07-30 07:00:00,3.1,75.6,47,7
"57",2018-07-30 08:00:00,4,77.4,49,6
"58",2018-07-30 09:00:00,5.5,79.5,44,4
"59",2018-07-30 10:00:00,4.7,79.1,44,3
"60",2018-07-30 11:00:00,4.2,80.1,47,1
"61",2018-07-30 12:00:00,4.3,79.7,171,3
"62",2018-07-30 13:00:00,4,79.5,160,2
"63",2018-07-30 14:00:00,8.1,78.9,164,3
"64",2018-07-30 15:00:00,6.9,77.4,201,3
"65",2018-07-30 16:00:00,7,76.6,230,4
"66",2018-07-30 17:00:00,3.9,75.4,240,5
"67",2018-07-30 18:00:00,4.7,74.2,248,6
"68",2018-07-30 19:00:00,10.1,73.4,246,4
"69",2018-07-30 20:00:00,8.7,72.9,258,2
"70",2018-07-30 21:00:00,11.7,72.3,326,1
"71",2018-07-30 22:00:00,8.7,71.6,311,2
"72",2018-07-30 23:00:00,4.3,70.6,8,2
"73",2018-07-31 00:00:00,9.2,69.3,332,2
"74",2018-07-31 01:00:00,9.9,69.1,354,2
"75",2018-07-31 02:00:00,11,69.4,351,2
"76",2018-07-31 03:00:00,12.4,69.1,36,3
"77",2018-07-31 04:00:00,11.2,68.5,16,3
"78",2018-07-31 05:00:00,9.4,69.2,38,3
"79",2018-07-31 06:00:00,10.1,71.3,35,4
"80",2018-07-31 07:00:00,11.6,74,45,3
"81",2018-07-31 08:00:00,9.8,76.3,71,3
"82",2018-07-31 09:00:00,5.3,78.2,148,2
"83",2018-07-31 10:00:00,7.7,79.3,144,2
